,,,,,,,
,Victorias,Empates,Derrotas,Goles a favor,Goles en contra,Tarjetas amarillas,Tarjetas rojas
TOTAL OFICIAL,7,0,7,23,24,0,0
TOTAL,7,0,7,23,24,0,0
,,,,,,,
Fecha,Tipo de partido,Equipo,Resultado,Tarjetas amarillas,Tarjetas rojas,Videos,
19/03/2017,MENORES D,Fénix,3-1,-,-,,1 javi FALTAN 2
23/03/2017,MENORES D,La Placita,2-1,-,-,,
02/04/2017,MENORES D,Segundo Semestre,0-4,-,-,,
Inexacto,MENORES D,Paco,4-3,,,,
Inexacto,MENORES D,Cogo,3-1,,,,
Inexacto,MENORES D,La noche,5-2,-,-,,
07/05/2017,MENORES D,Taladro Rojo,1-2,-,-,,
04/06/2017,MENORES D,La Provoleta de Miguel,1-0,,,,FALTA 1
11/06/2017,MENORES D,La Vino Tinto,1-4,,,,
02/07/2017,MENORES D,MaFaVi,0-2,,,,
13/08/2017,MENORES D,Terminalo Juez,0-1,,,,
10/09/2017,MENORES D,ATR,0-1,,,,
08/10/2017,MENORES D,Talleres de Awada,3-0,,,,abandono
15/10/2017,COPA EXALUMNOS,Birratim Growlers (MENORES A),2-2 (PERDIDO POR PENALES),,,,
, ,,,,,,
