date,opponent,ourScore,theirScore,result,tournament,season,organizer,location,notes
2017-03-19,Fénix,3,1,WIN,MENORES D,2017,,,
2017-03-23,La Placita,2,1,WIN,MENORES D,2017,,,
2017-04-02,Segundo Semestre,0,4,LOSS,MENORES D,2017,,,
,Paco,4,3,WIN,MENORES D,2017,,,
,Cogo,3,1,WIN,MENORES D,2017,,,
,La noche,5,2,WIN,MENORES D,2017,,,
2017-05-07,Taladro Rojo,1,2,LOSS,MENORES D,2017,,,
2017-06-04,La Provoleta de Miguel,1,0,WIN,MENORES D,2017,,,
2017-06-11,La Vino Tinto,1,4,LOSS,MENORES D,2017,,,
2017-07-02,MaFaVi,0,2,LOSS,MENORES D,2017,,,
2017-08-13,Terminalo Juez,0,1,LOSS,MENORES D,2017,,,
2017-09-10,ATR,0,1,LOSS,MENORES D,2017,,,
2017-10-08,Talleres de Awada,3,0,WIN,MENORES D,2017,,,
2017-10-15,Birratim Growlers (MENORES A),0,0,DRAW,COPA EXALUMNOS,2017,,,
